Delta_s,r_non_pub,r_lux_pub,public_share,candidate,EG,sdG,P_G_neg,p05,p95
-0.0145,0.468964608067252,0.174806255119977,0.5,file2_vs_file1,0.0145781726500139,0.00621175807053475,0.009,0.00417024811178136,0.0246950575241617
-0.0145,0.468964608067252,0.174806255119977,0.5,exactopt_vs_selected,0.00859903341348124,0.00767753680138094,0.12675,-0.00431736524015734,0.0212344245408487
-0.0145,0.468964608067252,0.174806255119977,0.7,file2_vs_file1,0.0145847482560107,0.00675842439922148,0.0175,0.00328156655106991,0.0255895146456231
-0.0145,0.468964608067252,0.174806255119977,0.7,exactopt_vs_selected,0.00860641558659805,0.00835642181409392,0.149,-0.00543828239695681,0.0223629822827842
-0.014,0.465158284933741,0.176530666705324,0.5,file2_vs_file1,0.0140781726500139,0.00621175807053475,0.0115,0.00367024811178137,0.0241950575241617
-0.014,0.465158284933741,0.176530666705324,0.5,exactopt_vs_selected,0.00782544260779559,0.00728918634668295,0.138,-0.00444284016199166,0.0198125746809544
-0.014,0.465158284933741,0.176530666705324,0.7,file2_vs_file1,0.0140847482560107,0.00675842439922148,0.02,0.00278156655106992,0.0250895146456231
-0.014,0.465158284933741,0.176530666705324,0.7,exactopt_vs_selected,0.0078324712457853,0.0079336453797854,0.1605,-0.00551159670917441,0.020890845328911
-0.0135,0.46135196180023,0.178255078290672,0.5,file2_vs_file1,0.0135781726500139,0.00621175807053474,0.01625,0.00317024811178137,0.0236950575241617
-0.0135,0.46135196180023,0.178255078290672,0.5,exactopt_vs_selected,0.00708833128595199,0.00690128562890066,0.14875,-0.00451932159789748,0.0184293165208891
-0.0135,0.46135196180023,0.178255078290672,0.7,file2_vs_file1,0.0135847482560107,0.00675842439922148,0.0255,0.00228156655106992,0.0245895146456231
-0.0135,0.46135196180023,0.178255078290672,0.7,exactopt_vs_selected,0.00709500467891422,0.0075113677364587,0.1705,-0.00554376207533065,0.0194534525352791
-0.013,0.457545638666718,0.17997948987602,0.5,file2_vs_file1,0.0130781726500139,0.00621175807053475,0.01975,0.00267024811178136,0.0231950575241617
-0.013,0.457545638666718,0.17997948987602,0.5,exactopt_vs_selected,0.00638762368081709,0.00651379683675467,0.16225,-0.00457193914981295,0.0170852278193517
-0.013,0.457545638666718,0.17997948987602,0.7,file2_vs_file1,0.0130847482560107,0.00675842439922148,0.03,0.00178156655106991,0.0240895146456231
-0.013,0.457545638666718,0.17997948987602,0.7,exactopt_vs_selected,0.00639394009227619,0.00708954768778043,0.18125,-0.00553915863440339,0.0180517660551059
-0.0125,0.453739315533207,0.181703901461367,0.5,file2_vs_file1,0.0125781726500139,0.00621175807053474,0.0245,0.00217024811178137,0.0226950575241617
-0.0125,0.453739315533207,0.181703901461367,0.5,exactopt_vs_selected,0.00572324803866083,0.00612668229119897,0.17375,-0.00458655554772279,0.0157748137950804
-0.0125,0.453739315533207,0.181703901461367,0.7,file2_vs_file1,0.0125847482560107,0.00675842439922148,0.0325,0.00128156655106992,0.0235895146456231
-0.0125,0.453739315533207,0.181703901461367,0.7,exactopt_vs_selected,0.00572920570480872,0.0066681441849854,0.19275,-0.00548778985714759,0.0166846380843212
-0.012,0.449932992399696,0.183428313046715,0.5,file2_vs_file1,0.0120781726500139,0.00621175807053474,0.02925,0.00167024811178137,0.0221950575241617
-0.012,0.449932992399696,0.183428313046715,0.5,exactopt_vs_selected,0.00509513658828925,0.00573990441989277,0.18525,-0.00456866159409447,0.0145108161009707
-0.012,0.449932992399696,0.183428313046715,0.7,file2_vs_file1,0.0120847482560107,0.00675842439922148,0.03875,0.000781566551069922,0.0230895146456231
-0.012,0.449932992399696,0.183428313046715,0.7,exactopt_vs_selected,0.00510073371721547,0.00624711629904175,0.2025,-0.00541151096044837,0.0153548859194241
-0.0115,0.446126669266184,0.185152724632063,0.5,file2_vs_file1,0.0115781726500139,0.00621175807053474,0.03275,0.00117024811178137,0.0216950575241617
-0.0115,0.446126669266184,0.185152724632063,0.5,exactopt_vs_selected,0.00450322551324668,0.00535342573182669,0.197,-0.00451280616552289,0.0132865115439553
-0.0115,0.446126669266184,0.185152724632063,0.7,file2_vs_file1,0.0115847482560107,0.00675842439922148,0.0465,0.000281566551069925,0.0225895146456231
-0.0115,0.446126669266184,0.185152724632063,0.7,exactopt_vs_selected,0.00450846028415479,0.00582642319298811,0.2145,-0.00529890209744799,0.014063718213441
-0.011,0.442320346132673,0.18687713621741,0.5,file2_vs_file1,0.0110781726500139,0.00621175807053475,0.039,0.000670248111781375,0.0211950575241617
-0.011,0.442320346132673,0.18687713621741,0.5,exactopt_vs_selected,0.00394745492704798,0.00496720879205872,0.209,-0.0044203608570511,0.0121035042140953
-0.011,0.442320346132673,0.18687713621741,0.7,file2_vs_file1,0.0110847482560107,0.00675842439922148,0.054,-0.000218433448930076,0.0220895146456231
-0.011,0.442320346132673,0.18687713621741,0.7,exactopt_vs_selected,0.00395232548945712,0.00540602409439501,0.2245,-0.00515053556011822,0.0128202068763893
