r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.3025,0.250221160432212,0.227115433986599,0.0137202150904131,0.153114307793542,0.001143227567588,0.00116642728950012,0.227115433986599,0.0137202150904131,0.153114307793542,0.264995109929584,0.0161352618122398,0.179216781731398
0.305,0.24908856374713,0.221076959547491,0.0254819268983147,0.153114307793542,0.000961145858889845,0.000980565447659232,0.221076959547491,0.0254819268983147,0.153114307793542,0.257998758658971,0.0299576625927326,0.179216781731398
0.3075,0.247955967062047,0.21502333984496,0.0372006652339848,0.153114307793542,0.000794934889822629,0.000810915773921561,0.21502333984496,0.0372006652339848,0.153114307793542,0.250982547725744,0.043720994942567,0.179216781731398
0.31,0.246823370376964,0.208954440177793,0.0488772041907124,0.153114307793542,0.000644566622607035,0.000657448274897221,0.208954440177793,0.0488772041907124,0.153114307793542,0.243946272039382,0.0574265086515802,0.179216781731398
0.3125,0.245690773691881,0.202870124320381,0.0605123039492098,0.153114307793542,0.000510014028404782,0.000520134081982149,0.202870124320381,0.0605123039492098,0.153114307793542,0.236889723850786,0.0710754272829779,0.179216781731398
0.315,0.244558177006798,0.196770254497087,0.0721067111742672,0.153114307793542,0.000391251072202281,0.000398945433350173,0.196770254497087,0.0721067111742672,0.153114307793542,0.229812692702823,0.0846689490483097,0.179216781731398
0.3175,0.243425580321715,0.190654691357323,0.0836611593984041,0.153114307793542,0.00028825269825794,0.00029385565665252,0.190654691357323,0.0836611593984041,0.153114307793542,0.222714965379245,0.0982082476489942,0.179216781731398
0.32,0.242292983636632,0.184523293949936,0.0951763693930421,0.153114307793542,0.000200994816088373,0.000204839152401215,0.184523293949936,0.0951763693930421,0.153114307793542,0.215596325854869,0.111694473085947,0.179216781731398
0.3225,0.241160386951549,0.17837591969709,0.106653049527684,0.153114307793542,0.000129454286977082,0.000131871378011628,0.17837591969709,0.106653049527684,0.153114307793542,0.208456555239389,0.125128752438886,0.179216781731398
0.325,0.240027790266467,0.172212424367624,0.118091896117645,0.153114307793542,7.36089109906191e-05,7.49288324833897e-05,0.172212424367624,0.118091896117645,0.153114307793542,0.201295431725964,0.138512190616637,0.179216781731398
0.3275,0.238895193581384,0.166032662049853,0.129493593760702,0.153114307793542,3.343741448536e-05,3.39890416987121e-05,0.166032662049853,0.129493593760702,0.153114307793542,0.194112730534533,0.151845871079855,0.179216781731398
0.33,0.237762596896301,0.159836485123834,0.140858815663171,0.153114307793542,8.91943808967177e-06,9.03054431566908e-06,0.159836485123834,0.140858815663171,0.153114307793542,0.18690822385527,0.165130856537402,0.179216781731398
0.3325,0.236630000211218,0.153623744233052,0.152188223955797,0.153114307793542,3.55251510431032e-08,3.28782410186079e-08,0.153623744233052,0.152188223955797,0.153114307793542,0.179681680790475,0.178368189617608,0.179216781731398
0.335,0.235497403526135,0.147394288255526,0.163482469999869,0.153114307793542,6.76711062785884e-06,6.97656766146526e-06,0.147394288255526,0.163482469999869,0.153114307793542,0.172432867295083,0.191558893515541,0.179216781731398
0.3375,0.234364806841052,0.141147964274319,0.174742194683936,0.153114307793542,2.9096510421267e-05,2.98431106177111e-05,0.141147964274319,0.174742194683936,0.153114307793542,0.165161546115756,0.204703972617379,0.179216781731398
0.34,0.233232210155969,0.13488461754744,0.18596802871149,0.153114307793542,6.70069111269322e-05,6.86149671049741e-05,0.13488461754744,0.18596802871149,0.153114307793542,0.157867476728513,0.21780441310292,0.179216781731398
0.3425,0.232099613470887,0.128604091477118,0.197160592879965,0.153114307793542,0.000120482360201235,0.000123275547683432,0.128604091477118,0.197160592879965,0.153114307793542,0.15055041527485,0.230861183527203,0.179216781731398
