s,r_non,r_lux,G_w85,G_w100,G_min_4corners,verdict
1.392,0.352413057006688,0.227608615268962,0.000485465020622078,0.000496134331199327,0.000249286233103829,ABSTAIN
1.393,0.349493631194458,0.228931228067872,0.000352627583402043,0.000360451025319009,0.000157043590977457,ABSTAIN
1.394,0.346574205382228,0.230253840866783,0.000240943905108537,0.000246360656966149,8.59952723591961e-05,ABSTAIN
1.395,0.343654779569998,0.231576453665694,0.000150434426030244,0.00015388416945894,3.61646889885936e-05,ABSTAIN
1.396,0.340735353757768,0.232899066464605,8.11211271268819e-05,8.30442045641755e-05,7.5768293603673e-06,ABSTAIN
1.397,0.337815927945538,0.234221679263516,3.30275484036191e-05,3.38651235464171e-05,2.5213175047778e-07,ABSTAIN
1.398,0.334896502133308,0.235544292062427,6.17880823772232e-06,6.37302939310303e-06,1.42372414551062e-05,ABSTAIN
1.399,0.331977076321078,0.236866904861337,6.01623688312181e-07,5.9579024913603e-07,3.00326119588856e-05,ABSTAIN
1.4,0.329057650508848,0.238189517660248,1.63243318167527e-05,1.65630641069114e-05,4.92317007794174e-06,ABSTAIN
1.401,0.326138224696618,0.239512130459159,5.3376912055092e-05,5.4306324791864e-05,1.08499740247847e-06,ABSTAIN
1.402,0.323218798884388,0.24083474325807,0.000111791009654194,0.000113858889290053,1.85541954644819e-05,ABSTAIN
1.403,0.320299373072158,0.242157356056981,0.000191599960250088,0.000195255946470962,5.7353248133496e-05,ABSTAIN
1.404,0.317379947259928,0.243479968855892,0.000292838815585283,0.000298534587250598,0.000117516481672464,ABSTAIN
1.405,0.314460521447698,0.244802581654802,0.000415544370429788,0.00042373383625649,0.000199077371137335,ABSTAIN
1.406,0.311541095635468,0.246125194453713,0.000559755190741251,0.000570894685050005,0.000302071109848368,ABSTAIN
1.407,0.308621669823238,0.247447807252624,0.000725511643113297,0.0007400601269687,0.000426534636409848,ABSTAIN
1.408,0.305702244011008,0.248770420051535,0.00091285592555812,0.000931275193655434,0.000572506662973593,ABSTAIN
1.409,0.302782818198778,0.250093032850446,0.00112183209967887,0.0011445869933443,0.000740027704795532,ADOPT
1.41,0.299863392386548,0.251415645649356,0.00135248612427341,0.00138004475097731,0.000929140111128768,ADOPT
1.411,0.296943966574318,0.252738258448267,0.00160486589045261,0.00163769985023188,0.00113988809751331,ADOPT
1.412,0.294024540762088,0.254060871247178,0.00187902125830208,0.00191760587754153,0.00137231777949809,ADOPT
1.413,0.291105114949858,0.255383484046089,0.00217500409517291,0.00221981866820209,0.00162647720788656,ADOPT
1.414,0.288185689137628,0.256706096845,0.00249286831566364,0.00254439635465453,0.00190241640552691,ADOPT
1.415,0.285266263325398,0.25802870964391,0.00283266992336273,0.00289139941704886,0.00220018740574002,ADOPT
1.416,0.282346837513168,0.259351322442821,0.00319446705442905,0.00326089073619373,0.00251984429244234,ADOPT
1.417,0.279427411700939,0.260673935241732,0.00357832002309078,0.00365293564900737,0.00286144324203486,ADOPT
1.418,0.276507985888708,0.261996548040643,0.00398429136914924,0.00406760200659273,0.00322504256713885,ADOPT
1.419,0.273588560076478,0.263319160839554,0.00441244590756873,0.00450496023506175,0.00361070276225495,ADOPT
1.42,0.270669134264249,0.264641773638464,0.00486285078027093,0.00496508339925228,0.00401848655143289,ADOPT
